smiles,mpK
c1ccc(c(c1)F)I,231
c1ccc(cc1)C(=O)C(Cl)Cl,294
c1cc(ccc1C(=O)CCl)Cl,374
COc1cccc(c1)[N+]([O-])=O,311
CCOC(=O)c1ccc(c(c1)OC)OC,317
C(CC(=O)O)C(=O)C(=O)O,388
c1cc(c(cc1CC(=O)O)O)O,402
c1cncn1,363
c1cccc2nccc12,325
Cc2ccc3cc1c5ccccc5ccc1c4CCc2c34,452.5
CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1,373
CN(C)CCC=C1c3ccccc3CCc2ccccc12,469.5
O=S(C)(=O)OCCCCOS(C)(=O)=O,389
NS(=O)(=O)c1ccc(cc1)n3nc(cc3c2ccc(C)cc2)C(F)(F)F,430.5
c1cc2c(cc1Cl)nc(o2)O,464
CCCCC2=NC1(CCCC1)C(=O)N2Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,453
c1c(occ(c1=O)O)CO,427
O=Cc1ccccc1C=O,329
OC(CCN1CCCCC1)(c2ccccc2)c3ccccc3,393
CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,506
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2,369
NCCc1ccc(O)cc1,437
COc1ccc2c(c1)[nH]c3c2CCN4[C@@H]3C[C@H]5[C@@H](C4)C[C@H]([C@@H]([C@H]5C(=O)OC)OC)OC(=O)c6cc(c(c(c6)OC)OC)OC,538
FC1=CN(C(=O)NC1=O)[C@H]2C[C@H](O)[C@@H](CO)O2,423.5
CCN(CC)CCSC(=O)N(c1ccccc1)c2ccccc2,321
Nc2nc1cc(Cl)ccc1o2,457
S=C=S,161
CC(C)S,142
[O-][N+](C)=O,244
BrC(Br)(Br)C(=O)O,404.5
O=S1(=O)CC=CC1,337.5
C=CC(N)=O,357
O=S(=O)(Cl)c1ccccc1,288
O=C1CCC(CC1)C(C)(C)C,322
O=C(C)c1ccc(Br)cc1,324
CCOc1ccccc1,243
CCCC(C)Br,177
O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,323.5
Cc1cc2nnnc2cc1,354.5
CCCCCCCCCCCCBr,263
Nc1cc(Cl)c(F)cc1,318.5
Fc1ccc(N)c(F)c1,265.5
CCC(=O)C1(CCN(C)CC1)c2cccc(O)c2,429
Nc2ncnc(Nc1ccc(Cl)cc1)n2,506
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,290.5
Ic1ccccc1Br,283
c1ccccc1P(c2ccccc2)c3ccccc3,353.5
Cc1ccccc1C=C,204
Cc1[nH]c2ccccc2n1,449
CCc1cccc(c1)C,177
CCCCCCCC(C)O,238
N#CCCCCCCC#N,270
CCCCCCCCCCCCCCCO,319
Cc1cccc(c1)c2ccccc2,278
CCC(=C)CC,141
O=S1(=O)CCCO1,305
CN1CCC(C1)CN3c2ccccc2Sc4ccccc34,360
CC2(C)C1CCC(=C)C2C1,212
CCC(=O)OC(Cc1ccccc1)(C(C)CN(C)C)c2ccccc2,348
OC(C1CCNCC1)(c2ccccc2)c3ccccc3,433
Clc2cc(Cl)ccc2Oc1ccc(cc1)[N+]([O-])=O,343.5
c1cc(cc(c1)[N+](=O)[O-])CC(=O)O,392
N#Cc1ccccc1Br,328
CCCCCC1CCCCC1,215
N#Cc1cc(Br)ccc1,312
CCOC(=O)n1ccn(c1=S)C,397
CC1C(OCCN1Cc3c(C)n(C)n(c2ccccc2)c3=O)c4ccccc4,422
O=C(OCC)NCCOc1ccc(cc1)Oc2ccccc2,326.5
O=C(N)c1ccc(O)cc1,434
O=C(OCC)C(C(=O)OCC)c1ccccc1,289
CCOc1ccc(NC(=O)CN)cc1,374
Fc2ccccc2c1ccccc1,346.5
FC(F)(F)c1ccccc1O,318.5
CC1(CCCCC1)C(=O)O,311
CCc3cc1cc(OC)c(OC)cc1c(Cc2ccccc2)n3,351
Nc3ccc(OCCCCCN2C(=O)c1ccccc1C2=O)cc3,386
BrCCCCCCCCBr,288.5
O=C1NN(C(=O)C1c2ccccc2)c3ccccc3,506
c1cc(C=O)c2CCOC(c2c1)=O,413
C(CCCC(=O)O)CCCBr,312
C/C=C/C=C/CO,304
CC=CC=CC(=O)O,407
C1(=O)C(CC)(CC(=C)C)C(=O)NC(=S)N1,433
COCC(=O)Nc2cc(Sc1ccccc1)ccc2N=C(NC(=O)OC)NC(=O)OC,402
[C@@H]1([C@@H]([C@@H]([C@H]([C@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,432
Cl[C@@H]1[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,385.5
COc1ccc(cc1)C(C)=O,311
CNCCO,268.5
CCOc1ccc(cc1)C=O,287
FC(F)(F)CO,229.5
Clc1c(cccc1Cl)[N+]([O-])=O,335
O=Cc1cccc(C#N)c1,350
CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,380
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,436
C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,368
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,402.5
CCC1(C(=O)NCNC1=O)c2ccccc2,554
Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,401.5
Cc1cc(CC(O)=O)n(C)c1C(=O)c2ccc(Cl)cc2,451
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,415
CC(C)C#N,201
CC(=O)CCl,228.5
CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,382
COc1ccccc1,236
C1C=CCCC1,169
CCC(=O)OC,185
CCCCCCCCCCCCCC,278.5
N#Cc1ccc(O)cc1,384.5
CCc2c(C)[nH]c3CCC(CN1CCOCC1)C(=O)c23,453
Clc1cc(ccc1OC)NC(=O)N(C)C,400
CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],305
CCOC(=O)Nc4ccc3Sc1ccccc1N(C(=O)CCN2CCOCC2)c3c4,429
NCCCCN,300.5
COC(=O)CCC(=O)OC,292.5
Nc1ccccc1C(=O)OC,297
Oc1ccc(cc1OC)C=O,355
Cc1cc(ccc1)[N+](=O)[O-],288.5
CS(C)=O,291.4
NC(=O)c1cccnc1,403
O=C(O)C2=CN(CC)c1nc(C)ccc1C2=O,502.5
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,478
C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,365
CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,448
CC=CC=O,197
C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,368
C1=CC(=CC=C1[N+](=O)[O-])Cl,356.5
CCCCOC(=O)C1=CC=C(C=C1)N,331
O=C(OCCCC)CCC,181
C1CCCCC1,280
C,91
NC=O,275
CC,89.67
O=C(NNCCC(=O)NCc1ccccc1)c2ccncc2,424.6
ClC(Cl)(Cl)F,162.5
CCCCOC(=O)C=C,209
CC(=C)Cl,135
CC(=C)CCC(=C)C,198
CC(C)c1cc(c(cc1C(C)C)C(C)C)C(C)C,392
c1ccco1,187.4
c1ccc(c(c1)C(=O)N)[N+](=O)[O-],449
Nc2nc(N)ncc2Cc1cc(OC)c(OC)c(OC)c1,474
CCCCCCCCCCCCCCBr,278
CC1OC(C)OC(C)O1,285
Oc1ccccc1Br,278
O=C(O)CCCCCCCC=CCCCCCC,273.5
C1COC1=O,239
CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2,313
c1ccc(cc1)NN,292
C(CF)O,246
CC(C)(C)C,256
CCCCCCCCCCCCCCCCCCCCCCCCCC,330
C1CCS(=O)(=O)C1,300
c1ccc(cc1)[SiH](c2ccccc2)c3ccccc3,316
C#CCCO,209.4
CN(C)C=O,212
O=C(O)CCCCCCCCCC,301.5
ClC(Cl)Cl,210
OC1CCCCCCCCC1,312.85
O=C1N(C(=O)N(C(=O)N1C)C)C,448.85
Cc1ccncc1,276
IC#N,419
c1ccc(c(c1)Cl)Br,260
c1ccc2c(c1)cc(cn2)Br,287
CCOc1ccccc1C(=O)O,293
c1ccc(cc1)OCCCBr,283
CCC(c1ccccc1)c2ccccc2,287
CCl,176
C1CO1,162
FC(F)(F)C(F)(F)F,173
CC(C)(C)c1ccc(c(c1)O)O,328
c1cc(c(cc1Cl)C=O)O,374
Cc1cc(ccc1O)Br,337
CC(C)OC(=O)Nc1ccccc1,361
C1CCCCCCCCCCCCCC1,335
Fc1cc(F)c(F)c(F)c1F,225
C=CC=O,186
c1ccc(cc1)Oc2ccc(cc2)Br,291
O=C1N=C(C=CN1CC)NS(=O)(=O)c2ccc(N)cc2,439.5
c1ccc(cc1)C(c2ccc(cc2)Cl)O,333
c1cc(ccc1OCC(=O)O)F,378
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,348
O=C=Nc1ccc(cc1)Cc2ccc(N=C=O)cc2,310.2
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,206
CC(C)OC(C)C,187
C1OCOCO1,334
CCCC(O)CCC,231.8
Cc1ccc(o1)C,211
COc1cccc(c1O)O,315
COC(=O)C(c1ccccc1)(c2ccccc2)O,348
COc1ccc(c2c1cccc2)C=O,307
CC#CC#CC,340
C=COCC,158
c1ccnc(c1)O,380
CCCCCCI,198
CC(Cl)=O,161
CCN(CC)c1ccccc1,235
C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,351
CC(C(C)(C)C)O,278
Brc2cccc1ccccc12,272
C[C@H]1CC[C@H](CC1)O,263
c1cc(c(cc1C(=O)O)[N+](=O)[O-])Cl,455
C=CCC=C,125
C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,309
O=C1CCCC1,222
CCCCCCCCCCCCCCCCCC(=O)OC,313
C1C2C=CC1C=C2,253
C(CCCN)CCCN,301
CCN(CC)CCNc2ccc(CO)c3sc1ccccc1c(=O)c23,374
CCC(=O)OCC,200
O=C(C)OCCCCCC,193
CC(C)C=O,208
Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34,443
Cc1ccc(cc1)C(C)C,205
Br,187
c1cc(ccc1C2CC(=O)c3c(cc(cc3O2)O)O)O,523
O=S=O,200
OC(=O)c1ccc(O)cc1O,498
CC(N)(CO)CO,384
Cc1ccnc(c1)N,372
c1ccc-2c(c1)Cc3c2ccc(c3)N,401
O=C(NP(=O)(OC)SC)C,361
CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,461
O=C(NCC(=O)O)c1ccc(N)cc1,472.5
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,345
O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl,337
COc1cc2c(ccc(=O)o2)c(c1)OC,421
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,412
O=C(O)C(C)c1ccc(cc1)N2Cc3ccccc3C2=O,485.5
Cc2oncc2C(=O)Nc1ccc(cc1)C(F)(F)F,438.5
NP(=O)(OC)SC,318
C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,477
CN1CCN(CC1)CCCN2c4ccccc4Sc3ccccc23,326
NS(=O)(=O)c1ccc(cc1)N2CCCCS2(=O)=O,453
CCCCS(=O)(=O)NC(Cc2ccc(OCCCCC1CCNCC1)cc2)C(O)=O,496
OC(CCN1CCCCC1)(c2ccccc2)C3CCCCC3,387
CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c4cc3cc(NS(C)(=O)=O)ccc3[nH]4,499
Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C,404
COc1cc(ccc1Cc3cn(C)c4ccc(NC(=O)OC2CCCC2)cc34)C(=O)NS(=O)(=O)c5ccccc5C,411
OCC(=O)[C@]3(O)[C@@]4(C)C[C@H](O)[C@@]2(F)[C@@H](CCC1=CC(=O)C=C[C@@]12C)[C@@H]4C[C@H]3C,535
c1c(cc(c(c1Cl)C(=O)O)Cl)Cl,436
c1cc(c(c(c1)Cl)Cl)C(=O)O,441
Cc1ccc(c(c1)O)C(=O)O,451
CC(=O)Nc1ccc2c3ccccc3Cc2c1,467
O=C(OC)[C@@]2(C[C@H]4C[C@@](O)(CC)C[N@@](CCc1c3ccccc3nc12)C4)c5cc9c(cc5OC)N(C=O)[C@@H]6[C@]98CCN7CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]6(O)C(=O)OC)[C@H]78,492
c1ccc2cc(ccc2c1)C=O,334
C[Si](C)(C)C,173
CC2(C)C1CCC2(C)C(=O)C1Br,349
CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(NC(C)=O)cc2,562
CCC(C)(C#CC(C)(CC)O)O,327
c1cc2cccc3c2c(c1)C(=O)OC3=O,544
c1ccc2c(c1)COC2=O,347
Cc1c(cccc1Cl)N,275
c1cscc1C(=O)O,412
c1ccc3ccccc3c1Nc2ccccc2,334
O=C1c3ccccc3Oc2ccccc12,448
c1ccc(cc1)C(=O)c2ccccn2,316
CC(=O)OC(c1ccc(o1)[N+](=O)[O-])OC(=O)C,363
COc1cc(ccc1OC)CC(=O)O,371
CCCOC(=O)c1ccc(cc1)N,347
COc1cc(ccc1N)[N+](=O)[O-],413
c1cc(ccc1S(=O)(=O)Cl)Br,348
c1cc(ccc1S(=O)(=O)Cl)Cl,325
CN(C)c1ccc(cc1)[N+](=O)[O-],438
ClC1=CC(=NCl)C=C(Cl)C1=O,340
c1ccc(cc1)NC(=N)Nc2ccccc2,422
c1cc(c(cc1N=C=O)Cl)Cl,315
CC1=NNC(=O)C1,495
Cc1cnccn1,243
CCCCCCCCCCCCCCCC(=O)OC,304
C=CCCCCCCCCCO,270
CCCCCCCCCCCCS,266
CCCCCCCCCCCCCCCC(=O)Cl,284
CCCCCCCCCCCCCCCCBr,290
C(C(Cl)(Cl)Cl)O,291
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,351.5
c1ccc(cc1)C(=O)c2ccccc2O,312
COc1cc(ccc1N)c2ccc(c(c2)OC)N,409
COc1cc(cc(c1O)OC)C=O,385
c1ccc(cc1)Oc2ccc(cc2)N,357
c3c5c1cccc2cccc(c12)c5cc4ccccc34,489
c1ccc2c(c1)cncn2,320
c1ccc2c(c1)cc3ccccc3n2,382
c1cc2cc[nH]c2nc1,378
c1ccc2c(c1)nco2,303
C1CN2CCN1CC2,431
COCCOc2cnc(NS(=O)(=O)c1ccccc1)nc2,425
C(C#N)C(=O)O,340
c1cc(c(c(c1)F)C(=O)O)F,431
c1ccc(c(c1)C(=O)Cl)F,278
c1cc(cc(c1)F)C(=O)O,396
c1ccc(cc1)c2c(nc([nH]2)c3ccccc3)c4ccccc4,549
COc1cc(c(cc1OC)OC)C(=O)O,417
c1ccc(cc1)/N=[N+](/c2ccccc2)[O-],308
C1CC2CC1C=C2,319
c1cc(ccc1CCO)O,364
C(CCCCCCCC(=O)O)CCCCCCCO,372
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(=O)OCC,309
c1ccc2c(c1)c(c[nH]2)CCO,331
Cc1cc(c(c(c1)C)O)C,345
c1cc(c(cc1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],438
c1ccc2c(c1)CCCC2=O,280
c1ccc(cc1)CNC(=O)N,422
CCCCCCCCC(=O)CCCCCCCC,325
CC(C)CC(=O)N,409
Cc1cccc(c1N)[N+](=O)[O-],368
c1cnccc1CO,327
COC(=O)N,328
C=C(C(=O)O)Cl,338
CCC(C(=O)O)C(=O)O,386
c1cc(c(c(c1)O)[N+](=O)[O-])O,356
c1(c(c(c(c(c1F)F)F)F)F)C(=O)O,375
Cc1cccc(c1C)C(=O)O,418
[O-][N+](=O)c2cc(cc1ccccc12)[N+]([O-])=O,420
Cn1c2ccccc2ccc1=O,348
[O-][N+](=O)c1ccc2c3ccccc3Cc2c1,429
[O-][N+](=O)c1ccco1,304
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,454
c1ccc(cc1)C(=O)C(=O)O,338
Cc1ccc(cc1)c2ccc(cc2)C,393
c1ccc2cc(ccc2c1)C#N,338
C1CC(=O)NC1,297
Cc1ccc(cc1C)C(=O)O,439
[S+]([O-])(Cc1ccccc1)Cc1ccccc1,406
CCOc1cccc(c1)C(=O)O,409
c1ccc(cc1)COC(=O)N,360
CCCOc1ccccc1,245
CC(CC(=O)O)CC(=O)O,359
CC(CCC(=O)O)CC(=O)O,373
CCCCCCC#N,209
CCCCCCCCCCCCCCCCCCCCCCCCC,326
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,556
CCOC(=O)c1ccc(cc1)C(=O)OCC,318
CCC2CCC3C4CCC1CCCCC1(C)C4CCC23C,356.5
C(#N)C(=C(C#N)C#N)C#N,471
CP(Cl)(Cl)=O,308
Cc1[nH]ccn1,416
c1ccc2c(c1)CC(=O)OC2=O,415
CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,340
c1ccc(cc1)c2nnc(o2)c3ccccc3,413
C/C(C)=CC=C(/C)C,286
Cc1cc(nc(n1)N)C,426
Cc1cc(c(c(c1)C)S(=O)(=O)Cl)C,328
CC(Cl)C(Cl)(Cl)Cl,208
C=Cc1ccc2ccccc2c1,338
c1(c(c(c(c(c1F)F)F)F)F)NN,349
O=C1CCCCCCCCCCC1,333
Cc1ccc(cc1)C(=O)Cl,271
c1ccc(cc1)c2nc3ccccc3s2,387
Cc1cccc[n+]1[O-],321
c1ccc2c(c1)nc(s2)O,411
c1cc(c(cc1C#N)[N+](=O)[O-])Cl,373
[O-][N+](=O)c2ccc(Nc1ccccc1)c(c2)[N+]([O-])=O,433
Cc1ccc[n+](c1)[O-],311
COc1ccc2c(c1)CCCC2=O,352
CC(=O)c1ccncc1,288
Cc1ccnc(c1)c2cc(ccn2)C,447
c1(c(c(c(c(c1Br)Br)Br)Br)Br)Oc2c(c(c(c(c2Br)Br)Br)Br)Br,579
c1cc(c(cc1C(=O)O)S(=O)(=O)N)Cl,531
CS(=O)(=O)c1ccc(cc1)c3cn2ccccc2n3,515
c1cc(c(cc1Cl)Br)Cl,307
c1cnccc1C(=O)N,430
c1cc(ccc1N=C=S)F,299
COC(=O)c1ccc(cc1)C(=O)O,494
c1ccc(cc1)P(=O)(c2ccccc2)O,468
Clc1nc(C(=O)N=C(/N)N)c(N)nc1N,513
CC(=O)c1c(cccc1OC)OC,343
C(CCBr)CC(=O)O,313
c1cc(ccc1N=C=S)Cl,318
c1cc(c(nc1)Cl)Cl,340
Clc1ccccc1CC(=O)O,368
c1c(cncc1Cl)Cl,338
CC(=O)n1ccnc1,374
c1cc(c(cc1Cl)C(=O)O)[N+](=O)[O-],411
CCOC(=O)c1ccccn1,275
c1c(cc(c(c1Br)O)Br)C=O,454
c1cc(c(cc1C=O)[N+](=O)[O-])O,415
c1ccc(cc1)CSC#N,315
CS(=O)(=O)c1ccccc1,360
c1cc(oc1)C(=O)NN,352
C(CCCCCCBr)CCCCCBr,313
CCNc1ccc(cc1)[N+]([O-])=O,369
c1cc(ccc1N=C=S)N=C=S,404
CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,316
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,354
C(CCC(=O)O)CCBr,307
c1cc(sc1C(=O)O)C(=O)O,631
C1COCCN1C=O,295
Cc1ccc(cc1)Cc2ccc(C)cc2,302
O=[N+]([O-])c1c(C)cccc1C(=O)O,494
c1ccc2c(c1)C(=O)N(C2=O)CCCBr,347
CCCCCCCC1CCCCC1,242
c1cc(sc1)C(=O)N,454
N#CSCSC#N,379
c1cc(ccc1[N+](=O)[O-])S(=O)(=O)N,453
C1CNCCC1CN,297
c1ccc(c(c1)C(=O)Cl)Br,283
BrC(Br)(C#N)C(N)=O,396.5
CC1(C2CCC1(C(=O)C2=O)C)C,473
CCCCCCCCCCCCC=O,288
c1ccc2c(c1)OCCOCCOc3ccccc3OCCOCCO2,435
CCCCCc1ccc(cc1)O,297
c1cc(c(c(c1)Cl)CO)Cl,370
c1cc2c(cc[nH]2)cc1C#N,379
CN1CCC(CC1)N(Cc2cccs2)c3ccccc3,368
CCCCCCCCCCCCCC(=O)OC,291
Cc1c(cc(cc1Br)Br)Br,342
Brc1cc(CC#N)ccc1,301
CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc2cccc(C)c2,436
c1ccc(c(c1)c2ccc(cc2)C(F)(F)F)C(=O)O,442
c1ccc(cc1)SCC(=O)O,337
CC(C(=O)O)S,284
C1CNCCNCCCNCCNC1,459
c1ccc(cc1)c2c(c2=O)c3ccccc3,393
c1ccc(cc1)S(=O)(=O)NN,376
c1ccc(cc1)N(c2ccccc2)C(=O)Cl,357
c1cc(ccc1N=C=O)[N+](=O)[O-],331
CN1CCC(CC1)O,301
O=C(c1cc(Cl)ccc1)c2ccccc2,355
Cc1cc(c(cc1Br)C)Br,346
c1ccc(c(c1)CBr)CBr,367
c1ccc(cc1)CN(Cc2ccccc2)c3ccccc3,343
COc1ccc(Cl)cc1N,356
O=S(N)(=O)c1ccc(Cl)cc1,418
c1ccc(cc1)CSCC(=O)O,335
CCOC=C(C#N)C#N,338
CC(=NO)C,335
c1c(c(cc(c1[N+](=O)[O-])F)F)[N+](=O)[O-],347
c1cc(ccc1C(=O)O)OC(F)(F)F,426
c1cc(cc(c1)C(F)(F)F)CC(=O)O,351
c1cc(ccc1C(=O)Cl)F,283
Cc1ccc(cc1[N+](=O)[O-])F,299
Cc1c(c(c(c(c1C)C)CCl)C)C,356
c1cc(sc1)c2cccs2,305
O=Cc1ccccc1N,311
c1cn(cn1)C(=O)n2ccnc2,391
c1ccc(cc1)Nc2ccc(cc2)c3ccc(cc3)Nc4ccccc4,521
c1cc2c(cc1N)scn2,361
c1cc(ccc1CBr)Br,335
CC#CC(=O)O,350
Cc1cc(ccc1O)C2(c3ccccc3C(=O)O2)c4ccc(c(c4)C)O,497
CCCCS(=O)(=O)CCCC,317
Cc1cc(c2ccccc2n1)O,508
c1cc(c(cc1[N+](=O)[O-])C(=O)O)C(=O)O,436
c1ccc(cc1)Cc2ccc(cc2)c3ccccc3,359
c1cc(cc(c1)Cl)C(=O)N,408
Cc1ccc(cc1)C(=O)CBr,325
c1ccc(cc1)CS(=O)(=O)Cc2ccccc2,424
c1ccc(cc1)COc2ccc(cc2)OCc3ccccc3,400
c1ccc(cc1)OC(=O)N,424
CC(=O)OCCCCOC(=O)C,286
c1ccc(cc1)C(=C(c2ccccc2)c3ccccc3)c4ccccc4,497
O=C(C#Cc1ccccc1)O,409
c1(c(c(c(c(c1F)F)F)F)F)C(=O)N,421
c1cc(sc1)C(=O)c2cccs2,362
CC(=O)c1ccc(cc1)C(F)(F)F,305
c1ccc(cc1)C(=O)c2ccccc2C(F)(F)F,333
COc1cc(ccc1O)O,362
COc1cc(ccc1C(C)=O)OC,314
Cn1ccc(=O)n(c1=O)C,394
COc1cccc(c1O)C(=O)O,425
Cc1cccc2c1[nH]cc2,357
Cc1ccc(cc1)OCC(=O)O,413
CCOC(=O)c1ccc(o1)[N+](=O)[O-],373
c1ccc(cc1)COc2ccccc2,312
c1cc(ccc1)c2nnc(nc2c3ccccc3)c4ccccn4,464
c1cc2cnccc2c(c1)N,402
c1ccc(cc1)C(=O)c2ccc(cc2)[N+](=O)[O-],410
c1ccnc(c1)c2cccc(n2)c3ccccn3,364
O=Cc1cc(O)ccc1O,371
c1ccc(cc1)OCCCCBr,315
COc1ccc(cc1C(C)=O)OC,293
CCOc1ccc(cc1)C(C)(C)COCc3cc(Oc2ccccc2)ccc3,309
OCc1ccccc1Br,354
Clc1ccccc1OC(C)C(=O)O,387
c1ccc(cc1)C(=O)CCC(=O)O,390
c1ccc(c(c1)C#N)C(=O)N,446
c1ccc(cc1)CNC(=O)c2ccccc2,379
c1cc(c(cc1F)F)C(=O)O,461
c1cnc(nc1)Cl,339
c1ccc(cc1)NC2CCCCC2,288
c1cc(ccc1C(=O)N)C(F)(F)F,457
c1cc(c(c(c1)F)C#N)F,303
COc1cc(cc(c1OC)O)C(=O)O,469
CCCCCC(=O)OC(=O)CCCCC,233
c1ccc(cc1)c2ccc(cc2)C(=O)c3ccccc3,374
c1ccc2cc(ccc2c1)C(=O)Cl,323
COc1ccc(cc1)N=C=S,292
C=CCC(C(=O)O)C(=O)O,377
c1ccc(cc1)c2ccccc2CO,322
c1cc(ccc1CO)C(=O)O,454
Ic1cc(Cl)cc(Cl)c1,329
c1cc(ccc1C#N)I,399
c1ccc(cc1)c2ccc(cc2)C=O,332
c1cc(cc(c1)[N+](=O)[O-])N=C=O,325
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)S,379
c1cc(ncc1[N+](=O)[O-])N,461
c1ccc2c(c1)c(ccn2)C=O,323
COc1cc(ccc1O)C#N,360
c1cc2c(cc1C#N)OCO2,366
CC(CO)(CO)C(=O)O,462
O=Cc1c2c(ccc1OC)cccc2,357
O=S(=O)(C=C)c1ccccc1,341
CCC(=O)c1ccc(cc1O)O,373
c1ccc(c(c1)C(=O)NN)Cl,391
c1cc(c(cc1Cl)C#N)N,369
CCOC(=O)C(C(=O)OCC)C(=O)OCC,301
Clc1cccc(Cl)c1CC(=O)O,432
c1ccc(cc1)P(CCCP(c2ccccc2)c3ccccc3)c4ccccc4,334
C1CN(CCN1CCCN)CCCN,287
O=C(Cl)Oc1ccc(cc1)[N+]([O-])=O,351
Cc1ccc(cc1Br)N,300
c1ccc(c(c1)c2ccccc2Br)Br,353
CC(=O)c1ccc(cc1)OC(=O)C,326
c1ccc2c(c1)OCCOCCOCCOCCO2,353
c1cc(cc2c1cc[nH]2)Cl,362
COc1cc(ccc1Br)OC,299
OC(C)(C)C1CC=C(C)C(O)C1,404
CCCCCCCCCCc1ccc(cc1)N,297
OC(=O)c1ccc(Cl)cc1OC,419
CCCCCCC(C(=O)O)O,342
c1ccc(cc1)C2CCCCC2=O,331
c1cc(ccc1C=O)I,350
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,479
c1c(cc(cc1F)F)C(=O)O,394
c1ccc(cc1)COC(=O)N2CCC[C@H]2C(=O)O,349
[O-][N+](=O)C(COC(C)=O)C(OC(C)=O)c1ccccc1,344
C1CC(CNC1)CO,333
CC(C)CCC#C,149
CCCc1ccc(cc1)C(=O)O,415
Cc1ccc2c(c1)no[n+]2[O-],370
OC(C(O)C(O)C(O)C=O)C(=O)O,439
CCOc1ccc(cc1)I,301
Clc1ccc(CC#N)cc1,304
Cc1ccc(cc1)CC(=O)O,365
COc1ccc2c(c1)no[n+]2[O-],390
CN1[C@@H]2CC[C@H]1CC(=O)C2,315
OC1CCC2(C)C3CCC4(C)C(CCC4C(C)CCCC(C)C)C3CC(O)C2(O)C1,510
Clc1ccc(/C=C/C(=O)O)cc1,521
COc1ccc(cc1)/C=C/C(=O)O,446
c1ccc(cc1)NC(=S)NN,411
Brc1ccc(/C=C/C(=O)O)cc1,535
C1C(=O)NC(=S)S1,442
Oc1ccc(cc1OC)CNC(=O)CCCC/C=C/C(C)C,339
O=C1CC(=O)NC(=S)N1,507
C1CSC(=S)N1,378
O(CCN(C)C)c1ccc(cc1)C(c1ccccc1)=C(CC)c1ccccc1,369
CCNC(=S)NCC,350
O=C1CCC2C3CCC4(C)CC5(OCCO5)CCC4(C)C3CCC12C,431
